   321	MME
   322	MMP7
   323	MRGPRD
   324	MTOR
   325	MYC
   326	MYD88
   327	NCOA5
   328	NDFIP2
   329	NDUFA10
   330	NFATC1
   331	NFATC2
   332	NFATC3
   333	NFATC4
   334	NFKB1
   335	NFKB2
   336	NFKBIA
   337	NGF
   338	NKD1
   339	NKD2
   340	NLK
   341	NLN
   342	NLRX1
   343	NOS3
   344	NOTUM
   345	NPRL2
   346	NPRL3
   347	NQO2
   348	NRAS
   349	NTRK1
   350	OCIAD2
   351	PARP1
   352	PARP2
   353	PARP3
   354	PARP4
   355	PDCD1
   356	PDPK1
   357	PFDN5
   358	PFKP
   359	PIAS4
   360	PIDD1
   361	PIK3CA
   362	PIK3CB
   363	PIK3CD
   364	PIK3R1
   365	PIK3R2
   366	PIK3R3
   367	PLA2G4A
   368	PLA2G4B
   369	PLA2G4C
   370	PLA2G4D
   371	PLA2G4E
   372	PLA2G4F
   373	PLAU
   374	PLCB1
   375	PLCB2
   376	PLCB3
   377	PLCB4
   378	PLCG1
   379	PLCG2
   380	PLEKHO1
   381	PMAIP1
   382	PORCN
   383	PPARD
   384	PPIA
   385	PPIH
   386	PPP3CA
   387	PPP3CB
   388	PPP3CC
   389	PPP3R1
   390	PPP3R2
   391	PRCP
   392	PREP
   393	PRF1
   394	PRICKLE1
   395	PRICKLE2
   396	PRICKLE3
   397	PRICKLE4
   398	PRKAA1
   399	PRKAA2
   400	PRKACA
   401	PRKACB
   402	PRKACG
   403	PRKCA
   404	PRKCB
   405	PRKCG
   406	PRKCQ
   407	PRR5
   408	PSEN1
   409	PTEN
   410	PTGS2
   411	PTK2
   412	PTPN13
   413	PXN
   414	RAC1
   415	RAC2
   416	RAC3
   417	RAF1
   418	RBX1
   419	RELA
   420	RELB
   421	REN
   422	RHEB
   423	RHOA
   424	RICTOR
   425	RIPK1
   426	RNF128
   427	RNF152
   428	RNF43
   429	ROCK2
   430	ROR1
   431	ROR2
   432	RPS20
   433	RPS6
   434	RPS6KA1
   435	RPS6KA2
   436	RPS6KA3
   437	RPS6KA6
   438	RPS6KB1
   439	RPS6KB2
   440	RPTOR
   441	RRAGA
   442	RRAGB
   443	RRAGC
   444	RRAGD
   445	RSPO1
   446	RSPO2
   447	RSPO3
   448	RSPO4
   449	RUVBL1
   450	RYK
   451	SEC13
   452	SEH1L
   453	SENP2
   454	SEPTIN4
   455	SERPINF1
   456	SESN2
   457	SFRP1
   458	SFRP2
   459	SFRP4
   460	SFRP5
   461	SFTPD
   462	SGK1
   463	SH2D2A
   464	SHC2
   465	SIAH1
   466	SKP1
   467	SKP2
   468	SLC38A9
   469	SLC3A2
   470	SLC7A5
   471	SMAD3
   472	SMAD4
   473	SMOC1
   474	SOS1
   475	SOS2
   476	SOST
   477	SOX17
   478	SPHK1
   479	SPHK2
   480	SPTA1
   481	SPTAN1
   482	SRC
   483	STAT1
   484	STAT2
   485	STK11
   486	STRADA
   487	STRADB
   488	SYK
   489	TAB1
   490	TAB2
   491	TAB3
   492	TBC1D7
   493	TBC1D7-LOC100130357
   494	TBK1
   495	TBL1X
   496	TBL1XR1
   497	TBL1Y
   498	TCF7
   499	TCF7L1
   500	TCF7L2
   501	TELO2
   502	THOP1
   503	TICAM1
